141,64,295,254,37,41,141
143
277,378,309
372,202,340,290
52,125
136
115,164,51
295
29,134,303
1,298,367,75,28,117
131,131,412,412,250,250,41,41,53,53,111,111
123
295,36
83,68
137,276,76
134,30
284
222,222,110,110
140,329
400,149,25,25,398
25,35,246
38,471,38,26,207,135,207
182,127
129
60,39,186
21
77,59,158,371
141,141,134,134
162
287,307
67
87
295
321,404,38
238,302,270,16,140
263,263,340,340
285,123,359,359,9,43,9,64
452,53
153,136,117
2,68,30,340
352
35
35
80,54
179
24,27,123,107,123
348,71
147,19
158,40
255
43,386,425,332,135,47
322
307
318,117,361
46,46
137
96,35
135,64,115
51
86,279
78,251,37,80,137,27,74,54,135
129
135,148,8,67
44,44,124,124,9,9,23,23,167,167,9,9,37,37,6,6
154
235,310,236
73,74,134
340
68,306,307,26
169
270,270,76,390,35,329
334,334,47,47,331,331,123,123
254
47,217,132,123,291,44,412
387
252,34
64,123
139,48
136,354,41,303
149,149
50,470
147,147,162,162
376,362,67,152
137,337,254,48
36,52,8
363,174,47,49,164,126,123
147,271
86,163
27,25,213
73
306,158,158,279,279,306
55,146
432,61,34
396
22
20,11,343,20,117,290
49
374,380,23,23
270,24,144,119,251,400,142
123
